沙门氏菌病	食物中毒
原稿架	机械装置
轰动	热情
婚床	床
捐款	赠品
均衡器	电子设备
格言	措辞
自身免疫病	症
枯巴木	矮灌木
肌无力	生理状态
软骨藻酸	神经毒素
凯恩㹴狗	狗的一种
蝴蝶结	装饰品
三水铝矿	矿质
松疱锈病菌	锈菌
半暗	黑暗
全身麻醉	麻醉
咖啡壶	厨房用具
结穗花饰	刺绣装饰
脑袋	认知
小轮	戒指
军衔	排列
雾灯	前灯
复式杠杆	杠杆
经济餐馆	饭馆
鼓风机	风扇
热核反应	聚变
伤寒症	传染病
缎木木材	木材
极端的部分	中间
隔膜	划分
门钉	钉子
二进制数	数字
裂隙	盖印
变位	词的词形变化
乐观主义	脾气
收据	证券
过氧化氢酶	酶
婚姻状况	法律地位
惯例	过程
时装店	店铺
雪果	有毒植物
质因数	因数
分炮	枪炮
猎鹿犬	猎狗
鲣鸟	鲱鸟
辅币钱	小型货币单位
小茴香	茴香
可憎的人	灵魂
辕马	小跑步的马
欢迎	致謝
适当的场合	状态
活动房屋	房屋
百万兆字节	电脑记忆单位
花束	鲜花设计
风夹角	入射角
脱羧作用	化学方法
红橡木	树
小叶	叶子
铬铁	熨斗
成年	成年
石蛾	虫子
纵火犯	罪犯
精神分裂症	精神病
目击者	观看者
听觉通讯	通讯系统
无限量	无穷大量
烟盒香椿	红木
赊欠	报酬
裤形救生圈	救生带
马丁拟羊鱼	羊鱼
表弟	家属
扩散	疾病
泼尼松	消炎药
泼尼松	糖皮质激素
嗜铬细胞瘤	肿瘤
催化裂化器	化学反应器
棕榈科之一种	扇形棕榈
严重的事故	灾祸
精子器柄	配子枝
尾臀	尾巴
凸透镜	镜片
软骨胶	硬蛋白
车	棋子
得意洋洋	心理状态
波状刃短剑	短剑
歪头	反常
波涛滚滚	风暴度
科泼力克氏斑	症状
团体保险	保险
钟铜	青铜
里耳线织物	衣料
第一	顺序数
黄祸论	威胁
鹞类	鹬科鸟
阔幅织物	铺饰用布料
耳痛	痛
带子	环状物
认股权证	认股权证
蜘蛛蟹属	节肢动物属
镁铝石	石榴石
套间	套间
迂回的作法	道路
顺应	顺应
檐状菌	多孔菌
铸钟场	铸造厂
冒险者	灵魂
拖索	绳子
第十二	排列
狐松鼠	松鼠
危险状态	困难境地
脓癣	癣
无关紧要的事	无关系
球状体	圆形
霍奇金病	淋巴瘤
鲨鱼肝油	动物油
圆规	绘图仪器
断续器	装置
物活论	归属
圆筒销子锁	锁
麋鹿	鹿
迷信	迷人的好运
白骨顶	黑鸭
蜡大戟	丝绒花
同分决赛	超时
被邀请者	访客
毛忍冬	金银花
鳞鲥	鲱鱼类
曲解	错误
优势分	得分
小说	虚构
密室	设施
叉角羚	反刍动物
有斜视眼的眼睛	斜视
大花圆锥绣球	绣球属植物
疣猪	猪
鼠尾草	鼠尾草属植物
青光眼	绿内障
种子选手	选手
消像散透镜	镜片
美国香槐	产黄色木材的被子植物
记忆丧失症	解离症
步行虫科	节肢动物科
槭树	被子植物
小布袋	袋子
自助洗衣店	洗衣房
希腊火药	武装
希腊火药	混合物
碎花纸	纸
回吸收	生物进程
瘘管	动物病
冷觉缺失	麻醉
鲑鱼油	动物油
建议和批准权	措辞
酒石酸	醇酸
证据	根据
蓝海星	棘皮动物
通信设备	设施
压缩气体	推进燃料
压缩气体	瓦斯
内渗	负伤
紫水鸡	紫青水鸡
奖杯	胜利纪念品
矮柳	清明柳
海滩李	野生李树
增值	增大
牛奶制品工厂	职场
压力单位	单位
低密度胆固醇	胆固醇
集中营	劳教所
运行费用	支出额
笃香	被子植物
篮子	篮球器材
篮子	球门
酸樱桃	欧洲酸樱桃
塔式大楼	楼阁
连贯	附着
资本损失	财政损失
等称增长	增长率
复数	数
补偿	赔偿
装瓶车间	工厂
黎克特制震级	数值范围
竞赛	赛
正方形	长方形
正方形	正多边形
脓胸	盆腔炎性疾病
码头鼠	褐鼠
电影胶片	胶片
稀释液	作用物
销售点系统	设施
无保障	威胁
混频器	电子设备
蛀船虫	船蛆
酒橱	餐具柜
伪装	掩蔽物
离子电荷	恒量
仪表	装置
飞镖	飞弹
一特拉姆	美国液体单位
赏金	报酬
皱状	脊
喜荫花属	海盘车单子叶植物属
学年	年度
头孢菌素II	抗菌素
厨房用具	家用电器
纤维蛇纹石	石棉
血质不良	血细胞减少
僵持	静止
供款	款项
行不通	逗留
系统	物质
法律系统	集合
克罗奇马车	马车
美国劳工党	政党
静电单位	单位
拘留所	惩教所
蒸发盐	沉积物
电表	计量器
音频CD	光碟
皮样囊肿	囊肿
熊皮	皮
野蔷薇之一种	蔷薇
要价	要价
桥牌室	房间
伴随事件	伴随物
硅肺病	肺尘症
限制用电	黑暗
枯叶蛾	枯叶蛾
补血药	药物
拉伸	延伸
皮肤角质层	皮肤病
焦虑性神经症	神经过敏症
特里碧帽	帽子
灌木羽扇豆	灌木
风暴度	坏天气
长毛象	象
政治宣传	宣传
不真实	违反事实
电锤	铁锤
铬酸酯	盐
贿赂基金	存款
报酬率	费率
结晶	固体
猫蚤	跳蚤
轻微的侵害	突然发病
工时	钟头
坐骨神经痛	神经痛
风流草	灌木
鲸目动物	水栖哺乳动物
涅盘	幸福
美食街	院子
卷发筒	机械装置
雇员	工作者
代谢异常	病理状态
肥料	粪便
狗獾	獾
过敏症	易感性
结束	结束
羽星科	海羊齿科
对准	调节
全球化	经济过程
舒筋草	石松
掉头	颠倒
铁女架	刑具
上诉委员会	活动船板
合心皮果	水果
黄癣	霉菌病
权利	权利
极值	限度
天文单位	长度度量
编入词汇	语言处理
台夫特陶器	陶器
苦痛	苦痛
听觉意象	形象
条带	饰物
藏獒	獒犬
太平洋松鲷	三尾鱼
胸痛	苦痛
冷蕨属	蕨属
股息单	汇票
球鞋	鞋子
正尾鳍	尾鳍
闭锁畸形	反常
风险资本	营运资金
鳞球穗	树
土元素	四要素
脊椎关节炎	关节炎
食管炎	炎症
食欲过盛	饥饿
石蚕状婆婆纳	婆婆纳属植物
锥面	圆形
也门货币单位	货币单位
手风琴	自由簧器具
暗绿龙舌兰	龙舌掌
遗患	反常
倾斜角	角
膝内翻	障碍
零件	附件
马醉木	灌木
礼拜六	平日
旅行袋	衣箱
诉讼费	退还金
别墅	郊区住宅
进化	生物进程
金红石	矿质
伤口	感染
存款	钱
舞台布景	舞台
谢谢	致謝
妇女解放运动	运动计划
自由飞轮	离合器
空隙	裂缝
脊柱前凸	脊柱弯曲畸形
鲣鲔	鲭亚目鱼
弹簧褥子	弹簧
紫檀木	木材
循环衰竭	心血管疾病
草原马薄荷	香蜂草
框子	集装箱
貉子	野狼
黑尿酸	酸类
出血性败血病	败血症
出血性败血病	动物病
骹	骨骼
鲻鱼	鲻
斜头畸形	畸形
斜头畸形	生理缺陷
污秽	肮脏
斑黑鲈	黑鲈
战败国赔款	赔偿
静脉血栓形成	血栓症
坦克车	装甲车辆
坦克车	军用车辆
泥蜂科	节肢动物科
贮放干草的顶阁	顶楼
衣刷	刷子
绞索	绳子
名人纪念馆	更常指大而气派的建筑
残余物	残渣
膀胱螺科	软体动物科
信息度量	衡量标准
鹈形目的海鸟	海鸟
副伤寒	传染病
最后	排列
出租的马	马
澳洲野狗	野狼
荷兰彪牛儿	天竺葵
竖井	挖掘的洞
鸡胸	畸形
新生地	地质活动
弹性蛋白酶	酶
棘鳞蛇鲭	蛇鲭鱼
生物碱	有机化合物
知识产权	资产
钻场	职场
子部件	部分-整体关系
社会阶级	人类
自我平衡	平衡
开花山茱萸	鸡足
氯水	漂白剂
氯水	溶液
格恩西奶牛	奶牛
雏菊花环	花链子
贼鸥	贼鸥
衣鱼属	节肢动物属
金星蕨属	蕨属
肝毒素	毒素
草莓状血管瘤	血管瘤
开发区	领地
立场	状态
美洲黄鼠	灰鼠
环氧酶-2	环氧酶
湿润	蒸发
三角形	多边形
滑梯	玩具
多基因遗传证	遗传病
突然抬起	运动
低潮	困境
违约金	报酬
减少优先	领先
警卫车厢	自动道车
边界	边缘
落地灯	灯
惰性气体	瓦斯
惰性气体	化学元素
脉翅目昆虫	虫子
状态	物质状态
分生孢子盘	子实体
炸药	高能炸药
职业更新	翻修
航空邮政的	邮件
驼毛呢衣	衣服
有限审计	已审定项目
关闭	运动
石苇属	蕨属
钙果	唐棣
粘菌	菌类
陵墓	埋葬所
食蟹浣熊	浣熊
幸运	幸事
珊瑚状真菌	菌类
过渡期间	间隙
五金店	店铺
颠茄碱	颠茄碱
辅酶	分子
柳树	清明柳
文饰作用	防御机制
钍	金属元素
到案	参加
道格拉斯松鼠	松鼠
巴西货币单位	货币单位
粘土岩	聚合体
氯酸	酸类
加速度	率
神志清醒	心智健全
船壳	结构
草丛	木材
正八面体	正多面体
白金	合金
光反应	光化学反应
软件的第一版本	软体
石景天	景天属的植物
杜宾犬	看门狗
淋巴管瘤	血管瘤
听觉辨识缺陷	认识不能
有关	适用性
信息时代	当今时代
近点年	年头
头盔	钢盔
定额	配给量
海羊齿科	棘皮动物科
充血	充血
霰弹	弹药
驯鹿苔	地衣
血缺氧	病理
异养生物	生物
无关	不相关
自由市场运行	经济过程
操纵杆	控制器
操纵杆	数据输入装置
余数	数
路肩	边缘
陀螺	玩具
化名	名字
国有债务限额	债务限额
避难所	房屋
替代医学	方剂学
茎基	连接或支撑部分
轻视	衰落
牛仔靴	靴子
条蕨属	蕨属
龙葵	龙葵属植物
浮雕艺术	照相
红霉素	抗菌素
风度	风度
纤维蛋白酶	凝固酶
鹬科鸟	矶鹬
阿卡迪亚语	古希腊语
黄金鸡纳树	树
蚕属	节肢动物属
逃避现实	消遣
靶	棋盘
联结点	地点
放射能照像	射线照相
幸事	幸运
重氮异胺	苯并二嗪
解密机	装置
心理防御机制	防御机制
扩展	增量
墙石蚕	石蚕属植物
意大利芹	香菜
夏季香薄荷	香薄荷
灰鲸	须鲸
熔解	组合
面罩	衣服
生成物	化学药品
蕈蚊科	节肢动物科
盖尔	加速度单位
共栖	存在
小聚伞	聚伞花序
迷迭香属	海盘车单子叶植物属
罗奥拉	避孕药
鼓风炉	火炉
钩端螺旋体病	钩端螺旋体病
叶柄	连接或支撑部分
凝乳酶	酶
凝乳酶	凝固酶
分泌亢进	分泌
费用	花费
络活他汀	抑制素
过虑	焦虑
代笔人	著者
微小化	萎缩
木排路	马路
观音竹	棕榈科植物
荆棘	螫刺
企鹅	企鹅目海鸟
小烦恼	烦恼
苔藓病	皮肤病
输尿管囊肿	脱垂
尖鳞伞	伞菌
一等安全等级	安全等级
洲际弹道导弹	弹道飞弹
氯乙酰苯	催泪瓦斯
木属植物	木本植物
二醇	醇
床单	床上用品
反轻子	反轻子
继发性高血压	高血压症
公益信托	信托财产
奇蹄动物	有蹄类动物
黄目子	树
压缩性骨折	骨折
隐蔽	隔离
无配子生殖	无配生殖
盐水	水
马鞭	鞭子
石鲈	鲈形亚目鱼
票房收入	毛利
柑橘粉虱	粉虱
电子设备	设备
下等	低等地位
升华物	瓦斯
水井	挖掘的洞
蛤蜊	瓣鳃纲软体动物
伯利兹黄檀	酸枝木
波洛领带	领带
旗帜	旗帜
石美人	蝴蝶鱼
英国货币单位	货币单位
隔离墩	路肩
黄寄生	寄生植物
瘃	脓疱
躯体妄想	错觉
溃疡	溃疡
白鬼笔	臭角菌
微米	公制长度单位
虎斑猫	家猫
模块	组件
恢复精神	恢复
细胞色素c	细胞色素
退休金基金	存款
无忧虑	舒适
活动船板	调查团
异像	视觉障碍
美国紫藤	黄环
锿	金属元素
有期限股	普通股
甜橙	橙树
限期	阶段
家具绒头织物	衣料
野樱	水果
市盈率	比例
女帽	风帽
翻跟斗	特技
退房时间	起飞时间
红细胞生成	生物进程
现金帐户	委托金
那时	时间点
资历较浅	次要的
钻头	工具
脱氧核糖	糖类
溶度	定量
变型	拷贝
系数	系数
辅导	老师
橡胶树脂	虫胶
庄园	甲第
铁黑云母	黑云母
激烈的争吵	吵架
剧院包厢	坐椅
吸着物	物资
自动免疫	获得性免疫
燃料电池	电池
蓝鳍金枪鱼	鲔鱼
测径规	仪表
炎热期	一段时间
按钮	开关
立克次氏体病	传染病
普通程度	等级
驾驶员席位	坐椅
行板乐章	速度
词性一致	语法上的一致
缅甸紫檀	树
鲯鳅科	鲯鳅
海盗行为	劫机
气体状态	物质状态
放射性钍	钍
光圈快门	机械装置
令人不愉快者	烦恼
十八世纪九十年代	十年间
磺酸钙	磺酸盐
报酬	福利
油气爆炸物	爆炸装置
羚羊	牛科动物
控制股权	股份
谣言	闲话
半导体材料	导体
高岭土	黏土
大学宿舍	集体寝室
麦角菌	菌类
卡瓦拉马鲛	西班牙鲛鱼
结结巴巴	语言失序
絮凝	自然过程
骨瘤	良性肿瘤
脂环化合物	脂族化合物
抑制素	药物
理想气体常数	恒量
从属关系	联合
繁荣	进化
磁通量单位	磁通量
飞绳球	绳子
绵羊皮革	皮革
氰胺	酸类
钝口螈属	两栖类
锁子甲	防弹衣
悬雍垂炎	炎症
手倒立	体操锻炼
轴承黄铜	黄铜
玩具猎鹬犬	小型狗
利比希冷凝器	凝结器
违反事实	非现实
空肠回肠炎	炎症
皮蝇科	节肢动物科
血细胞减少	血液病
复合型骨折	骨折
卡波西肉瘤	肉瘤
晶体拾音器	唱臂
内燃	燃烧
黄蜂	膜翅目昆虫
狗鱼	鲈形亚目鱼
鱼刺网	渔网
羔羊皮	皮
算出总数	数
收养者	父亲或母亲
射击距离	瞄准器
后腿	后肢
摄氏温标	温度指数
节制	临时状态
小房屋	房屋
公制长度单位	长度度量
公制长度单位	十进制单位
鬣狗	犬科动物
巴斯德氏菌病	动物病
中南大羚	牛科动物
苏仿木	酸枝木树
游击队员	武士
猎狼犬	猎狗
美洲山猫	野猫
专业化	社会进程
磁针	磁体
背纹枪鱼	马林鱼
烛花	烧焦物
隅	场地
蛇皮藓	皮肤病
华盖	华盖
宿根虫瘿	冠瘿
螯虾科	节肢动物科
比利时种小狗	看门狗
软疣	皮肤病
对映形态	反对的立场
火炉围栏	安全装置
个性危机	心理状态
小轿车	车
救生颚	工具
装填物	密封材料
硫镉矿	矿质
闲职	圣俸
拱背线	曲线
骨碎补属	蕨属
资本净值	账目
瓦罐	罐子
老挝基普	老挝货币单位
堆肥	混合物
蒸发	自然过程
降压药	药物
课税扣除	降低
精神卫生	心理状态
装饰烛台	蜡烛架
西伯利亚锦鸡儿	黄雀花
股痛	苦痛
家衣鱼	衣鱼
腥黑穗病	黑穗病
蚊蝎蛉	长翅目
双曲面	二次曲面
皱褶	盖印
米尺	直尺
商数	数
排	层
黑安格斯牛	菜牛
热性痛觉	苦痛
短剑	刀
花园	小块土地
憨鲣鸟	鲱鸟
石英	矿质
遗传病	遗传病
牡蛎豆蟹	豆蟹
积木	建筑物料
透过	扩散
产卵鱼	鱼类
受理上诉的法院	法院
辅助机场	飞机场
刺蝶鱼	蝴蝶鱼
美洲紫水鸡	紫青水鸡
大牌	成功
病毒感染	感染
收成	成品
圣艾格奈节前夕	基督教会节日
雕绣	刺绣装饰
角蝉科	节肢动物科
不相交性	松散的事物
牙龈病	脓肿
水羚	羚羊
冲失	水土流失
衬衫的胸部	插入物
长尾猴	阔鼻猴
䓝醇	洗剂
烟	蒸发
环境	状态
沮丧	气氛
早晨	阶段
圭亚那元	块
蚌壳蕨科	蕨类植物
狂蝇属	节肢动物属
现金卡	信用卡
盗用者	让受方
小孩子	子孙
苯胺	胺卤氮化合物
鸡粪肥	肥料
碱性染料	染色剂
果酱瓶	罐子
小客栈	有房间可供出租的房屋
数字计算机	计算机
痛经	苦痛
蓝鳃太阳鱼	欧鳊属淡水鱼
赤贝	瓣鳃纲软体动物
银鲈	鲈形亚目鱼
心理	态度
乌荆子李	李树
安息	死亡状态
大黑背鸥	鸥
残酷	状态
草拟	摘要
动物病	症
心囊炎	心脏炎
直肠炎	炎症
监狱拘留所	监禁
军火库	铸造厂
团队	大堆
铝	金属元素
非劳力增值	经济获益
经济获益	获益
职业介绍所	政府机构
谦卑	蒙羞
六须鲇	鲶
天蓝	颜料
临界智力	智商
过氧化钡	氧化钡
挡书板	支撑
钻石婚纪念日	结婚纪念日
历史性	真实性
第一档	齿轮机构
球形	圆形
腕尺	长度度量
线	绳子
铁线蕨属	蕨属
瞌睡	临时状态
急弯处	曲线
空袭	袭击
美国体系	度量衡制
非纳粹化	社会进程
弹性织品	衣料
蠓	蚋
指令执行时间	处理时间
血红蛋白病	血液病
扫尾豪猪	豪猪
阵痛	苦痛
人类	类人动物
化学平衡	反应
长发夹	钗
附睾炎	炎症
剑齿虎	剑齿虎
代茶冬青	冬青树
紧缩	降低
黑鮰	美洲鲇鱼
牲口棚	农舍
疟疾	原生性感染
风滚草	野草
腐蚀	退化
课堂	房间
块	聚结
炉煤气	瓦斯
抓钩	工具
行李暂存处	房间
试图	尽力
斯凯狗	狗的一种
热病	症状
切除	消除
宵禁	限期
竞争	角逐
自动驾驶仪	装置
千伏-安培	电力单位
书带蕨科	蕨类植物
多倍性	状况
蜚蠊属	节肢动物属
野生芒果	果树
储金	存款
子囊真菌	子囊菌
瞬间	时间点
软壳蟹	蟹
大洋李	李树
山牵牛属	海盘车单子叶植物属
败局已定的事业	运动计划
对映结构体	化合物
印度土布	衣料
腹部疾病	病理状态
繁分数	分数
直接对照	对立
海燕类	海燕
刺痛	苦痛
花苞	蕾
心脏监视器	监视器
含铬的染料	铬
麻鹬	滨鸟
肺栓塞	栓塞
萌芽	阶段
高尔夫球车	高尔夫器材
大懒兽	贫齿类动物
镇咳药剂	药物
渣滓量	无穷小量
羊快疫	动物病
砷酸	酸类
钱布雷绸	衣料
恐慌症	焦虑症
大数	基数
金属螺钉	螺钉
诙谐的言行	消遣
飞拱	支持物
蛾蝶花属	海盘车单子叶植物属
遗传	生物进程
角嘴海雀	海鸟
舌瓣花	灌木
踢起	锻炼
锐角三角形	三角形
新月蕨属	蕨属
自动阻气门	阻塞门
低蛋白血	症状
电车费	运费
千伏特	势能单位
谷蛾	麦蛾
一垒的位置	垒
介壳虫	蚧总科昆虫
赞誉	领受
花坛植物	园林植物
衣扣	钮
伦琴	放射性单位
澳洲蒲葵	棕榈科植物
麻痹症	机能障碍
印尼货币单位	货币单位
火炮	枪炮
竞争问题	困难
装饰家	专家
囊蕨属	蕨属
黑棘皮症	皮肤病
条件反射	新陈代谢
接机口	闸口
妄想自大狂	精神病
达尔马西亚狗	狗
殖民政策	自私的利用
切割器	切割工具
联邦探员	职员
螫毛	绒毛
碳霉素	抗菌素
博得牧羊犬	牧羊犬
珍珠	美玉
芳香鼠尾草	鼠尾草属植物
罗氮芥	抗肿瘤药
闺房	卧室
聚脂	酯
聚脂	塑胶
跪垫	靠垫
剧痛	苦痛
瓣炎	炎症
雄激素	类固醇激素
大叶枫	槭树
髓	植物组织
通道	犁沟
牛皮	兽皮
荷兰狮毛狗	绒毛狗
混频器	厨房道具
玉蜀黍疹	维生素缺乏症
大王鱿	鱿鱼
眉笔	化妆品
模特	帮手
立克次氏体痘	立克次氏体病
嗅觉缺失	障碍
梅花草	沼泽植物
退热冰	镇痛药
纠缠不清	困难境地
银蛤属	软体动物属
舱口栏板	骨架
金衡磅	金衡制单位
金衡磅	药剂单位
拟步行虫	象鼻虫之类
岩蟹	蟹
跑跳	障碍赛
柿树	果树
等价关系	联合
蛇北鳚	线鳚
无理性的	精神失常
零息债券	无息债券
宿根瘤	植物病
联邦化	管理
先天性心脏病	生理缺陷
增大	增大
检喉镜	医疗器械
议会	立法机关
肌束颤搐	抽筋
柱面	圆形
蝎蝽属	节肢动物属
触染性须疮	癣
腱鞘炎	关节膜炎
腱鞘炎	腱炎
补偿钱	赔偿
拨款	钱
氮的氧化物	污染物质
荧光灯	灯
大眼蓝鲈	鼓眼鱼
海滩冲刷	腐蚀
条状肥皂	肥皂
狗咬伤	伤口
气	蓬勃的生气
螺角山羊	野山羊
隐睾雄马	小雄驹
数个	无穷小量
期中	时间点
结肠癌	癌
帽子	头饰
透明样变化	状态
生物实验室	科研室
挡泥板	障碍
起绒草	川续断
蟑螂	网翅目昆虫
贝壳	腹足纲软体动物
咖啡豆研磨机	研磨机
有裙撑的裙子	裙子
帝蛾属	节肢动物属
陪审席	岗亭
北鳚	线鳚
鼬	白鼬
果树	被子植物
数词	符号
集中焦点	致病
11月中旬	阶段
大楼	房屋
卷帆索	绳子
过滤嘴	空气过滤器
水龙头	龙头
蜾蠃蜂属	节肢动物属
分泌物	发射物
砌道	马路
海力蒙	衣料
意义	意思
一大笔钱	钱
完全	完全
长齿鱼	鲉鱼
尼日尔-法郎	法郎
可溶性无机盐	盐
刻痕	凹痕
敌军	敌手
水龙头	放出管
美洲大蠊	蟑螂
翠蕨属	蕨属
连生	增量
光学玻璃	玻璃
夫妻共有财产	资产
胃肠炎	盆腔炎性疾病
酸枝木	树
粘滞系数	系数
正交线	直线
扁平苔癣	苔藓病
复合材料	物资
绿黑穗病	黑穗病
轻便摩托车	机动脚踏车
技术	题目
柱上的微凸线	凸面
数据速率	率
淋巴结病	病理
头饰	衣服
三倍赔偿	赔偿金
织补线迹	针脚
木吉他	吉他
头癣	癣
高鼻羚羊	羚羊
小旋角羚羊	条纹羚
羊皮纸	兽皮
矛吻蝠	叶鼻蝠
平针织法	编织针法
铽金属	镧系元素
体癣	癣
大果田菁	碱青
后院	院子
一美元钞票	钞票
连累	连结
黄油碟	碟子
犹太教灯台	枝状大烛台
蔗糖	双糖
蔗糖	植物产品
穴蝠	蝙蝠
黏液瘤病	动物病
纳什均衡	平衡
习惯	模式
矛盾	对立
弱蛋白银	防腐剂
水俣病	汞中毒
聚质期	生物进程
柠檬林	种植园
风筝气球	阻拦气球
复制	生物进程
甘蓝菜害虫	毛虫
欧旅鼠	旅鼠
柠檬酸	酸类
囊鼠	小囊鼠
边材	木材
玫瑰糠疹	蛇皮藓
行动迅速者	野兽
火炮	火力装备
毁容	损害
闭塞性动脉硬化	小动脉硬化
留存	状态
棉线	线
弹药箱	枪弹
微动扳机	扳机
圆桶	容器
炉火	暖炉
豆类	籽
败血症	败血症
平方英尺	面积单位
人体模特	假人
十九世纪四十年代	十年间
鸭柱	保龄球瓶
飞机上的厨房	厨房
反共济会党	政党
雄甾酮	酮类固醇
雄甾酮	雄激素
龟头花	沼泽植物
银金矿	合金
咖啡树	树
钝叶酸模	野菠菜
小树	树
蟹	甲壳纲动物
银无须鳕	鳕鱼类
衣冠冢	纪念碑
期间	阶段
声调聋	聋
赠品	赠品
暴行	残暴
成对形成	自然过程
腹膜炎	炎症
分针	针
癖好者	狂热者
卡路里	能量单位
红皮病	皮肤病
翠榴石	钙铁榴石
不发生	缺席
血库	储备金
火钳	火钩
萎蔫病	植物病
瘤型麻风	麻风病
赤鲷	真鲷
花菁染料	染色剂
涂底	涂底料
滨海山茱萸	灌木
海豆	酸枝木树
拘泥形式	模式
股癣	癣
香茶菜属植物	室内植物
盖印	装置
红花槐	灌木
甜菜糖	糖类
约定	誓言
阿帕契语	阿萨巴斯卡语
奥氏体钢	钢铁
阻蚀剂	阻氧化剂
藤蔓	攀缘植物
有五点的纸牌	骰子
有五点的纸牌	多米诺骨牌
面涂层	石膏
面涂层	涂层
消防云梯	伸缩梯
更年期忧郁病	重郁发作
愿望	欲望
抗原生动物药	药物
少数团体	精英
损毁量	估计量
有关解剖学的表达	措辞
镉	金属元素
初生儿眼炎	眼炎
都布隆	硬币
鹦喙花	耀花豆
碎米蕨属	蕨属
损害	损害
黄疸病	症状
非洲的山猫	野猫
氨络物	化合物
玩偶	玩具
地狱里的磨难	被罚下地狱
小水果	水果
抗胆碱能药物	药物
齿鲸	鲸鱼
喀麦隆长尾猴	长尾猴
甘油酯	甘油酯
甘油酯	动物油
平原囊鼠	衣囊鼠
双排扣上衣	短上衣
红竹	树
双氯青霉素	杀菌剂
纤维肌炎	炎症
纤维瘤	良性肿瘤
鸭脚板	鞋子
血清球蛋白	球蛋白
劳动力资源	财力
闹羊花	灌木
临时凭证	单据
法式弯后跟	鞋后跟
植物脂	植物物料
阻止	被排除在外
纹蛱蝶属	节肢动物属
轧棉机	机器
散射	自然过程
笕嘴	装饰品
骨脂	动物脂
大手提包	袋子
测面仪	仪表
掩蔽物	覆盖物
枷锁	压抑
吃饭的铃声	钟
肾炎	肾病
挖斗	挖泥桶
铟	金属元素
漂白粉	漂白剂
银行挤提	取出储蓄
胼胝	疤痕
生长期	季节
凤尾蕨科	蕨类植物
钽	金属元素
蜿蜒	曲线
中级品	货物
生产	行为
胸铠	防弹衣
白額鸌	海燕类
刑期	期限
复写纸	纸
五角硬币	硬币
烟草属	海盘车单子叶植物属
石英晶体	火山玻璃
嫁妆箱	箱子
补给库	店铺
磁盘控制器	控制器
自信	充满希望
国籍	法律地位
胸膜肺炎	肺炎
胸膜肺炎	胸膜炎
重瓣胃	胃
贵金属	有价值的物品
胸膜炎	盆腔炎性疾病
浮尘子科动物	跳盲蝽
路口	联结点
下垂	盖印
生活	存在
可免除项目	款项
枯叶虫	毛虫
意见的一致	和谐
红狼	狼
钓鱼椅	椅子
螺钉	紧固件
薰剂	化学药品
伊顿式衣领	领子
生产系统	带消遣性的活动
恐男症	社交恐惧症
髯狗	狗的一种
肥料	有机肥料
神经肉瘤	肉瘤
冲积层	沉积物
湿润器	装置
褶裙	裙子
龙牛儿苗	洋绣球
己醛糖	己糖
己醛糖	醛糖
溃疡的发展	生物进程
美洲驼	偶蹄动物
无双的人	模范
礼貌	和谐
利器	切割器
辑合	融合
肌动蛋白	简单蛋白质
变兽妄想	错觉
表演	带消遣性的活动
变形再生	再生
咖啡属	海盘车单子叶植物属
枯萎病	植物病
碳酰氯	瓦斯
澳门货币单位	货币单位
磷	化学元素
比分	数
夏季	季节
小苞片	苞片
电解质电容器	电容器
幼鲑	幼鱼
香料	香料
帽章	装饰品
乙烯基氰	腈
亚麻织物	衣料
沙丁鱼油	动物油
酸模	野菠菜
碱石灰	混合物
骡	马科动物
金羊毛	绵羊皮革
色素沉着	沉积
环状暗点	盲点
锈菌	菌类
硬铝	合金
家猫	猫
水叶草属	海盘车单子叶植物属
爵床属	海盘车单子叶植物属
南美曼陀罗	灌木
块	无穷小量
二丁卡因	静脉麻醉药
肺结核	肺结核
进化分枝图	树形图
卡车	货车
热切	性冲动
麦黄草	鸭子草
轮船上的厨房	厨房
剥蚀	消除
所得税	税金
起诉	起诉
固体	物质状态
陆地莲	花灌木
分析天平	杠杆式天平
吻痕	红斑
石板	屋面材料
洛海普诺	俱乐部毒品
芳香树脂	骨湃脂
瓢虫	瓢虫
理想化	防御机制
工资袋	薪金
同心结	节
铍	金属元素
铆	开口或小孔
回味	残影
碳黑	碳
水玻璃	玻璃
叠氮酸	爆炸物
冰岛克朗	冰岛货币单位
大桶	桶
突击步枪	自动步枪
引证	论据
暂停	间歇
鳃足动物	甲壳纲动物
烟草	烟草叶
小头畸形	反常
敌人	人类
牙痛	痛
膨胀延伸	生理状态
装卸费	花费
艺术收藏品	集合
列氏温标	温度指数
增多病	贫血症
鳃角金龟属	节肢动物属
厚脸皮	皮肤
龙牙花	龙牙花
陆军工程师	技师
大果丽百合	蝴蝶百合
大花窗帘棉布	衣料
纤维镜	医疗器械
未格式化容量	最大容量
家庭招待会	招待会
经验	知识
隔间	房间
C-钳	钳子
刚果胶	骨湃脂
耽搁的时间	间歇
拉雪橇的狗	役用犬
休眠帐户	储蓄账户
贴现率	利率
牡蛎属	软体动物属
内填	生长
珠蕨属	蕨属
蹲伏	弯曲的
尸碱	胺卤氮化合物
裂殖	无性生殖
红铅油灰	接合胶
皮硬化病	浮肿
虫胶	虫胶
洋樱桃树	樱桃树
磺酸	酸类
胎盘早期脱离	病理状态
肝病	症
软腐病	植物病
美洲槲寄生	美洲寄生灌木
已审定项目	清算账目
饮食失常	进食障碍
